location,size,total_sqft,price,category,bhk,price_per_sqft
Shirdi Sai Layout,4 Bedroom,1200,9500000,Urban,4,7916.666667
Sarjapur  Road,3 BHK,1691,11300000,Urban,3,6682.436428
Bisuvanahalli,3 BHK,1075,3600000,Urban,3,3348.837209
1st Block Jayanagar,3 BHK,1630,19400000,Urban,3,11901.84049
8th Phase JP Nagar,3 BHK,1240,4350000,Urban,3,3508.064516
Bannerghatta Road,2 BHK,1122.5,5893500,Urban,2,5250.334076
Mallasandra,3 BHK,1665,8658000,Rural,3,5200
Marathahalli,3 BHK,2489,9400000,Urban,3,3776.617115
Brookefield,2 BHK,1142,7000000,Rural,2,6129.597198
Kodbisanhalli,3 BHK,1976,18400000,Urban,3,9311.740891
Sathya Sai Layout,4 Bedroom,5500,60000000,Urban,4,10909.09091
Kothannur,3 BHK,1853,8200000,Rural,3,4425.256341
Vijayanagar,8 Bedroom,600,7200000,Urban,8,12000
Kasturi Nagar,2 BHK,1567,9200000,Urban,2,5871.091257
Talaghattapura,2 BHK,1090,2724000,Urban,2,2499.082569
Raja Rajeshwari Nagar,6 Bedroom,1200,12500000,Urban,6,10416.66667
Indiranagar HAL 2nd Stage,4 Bedroom,2400,64000000,Urban,4,26666.66667
Electronics City Phase 1,2 BHK,1175,5147000,Urban,2,4380.425532
Subramanyapura,2 BHK,1200,5200000,Urban,2,4333.333333
Kodichikkanahalli,2 BHK,995,4100000,Urban,2,4120.603015
Magadi Road,2 BHK,884,4110000,Urban,2,4649.321267
Vishwanatha Nagenahalli,5 Bedroom,900,8000000,Urban,5,8888.888889
Yeshwanthpur,2 BHK,1170,5700000,Rural,2,4871.794872
KR Puram,2 BHK,1225,4655000,Urban,2,3800
Electronic City,2 BHK,1342,7330000,Rural,2,5461.997019
Uttarahalli,2 BHK,1345,6700000,Urban,2,4981.412639
Kodigehaali,3 BHK,1320,6500000,Rural,3,4924.242424
Raja Rajeshwari Nagar,2 BHK,1140,4939000,Urban,2,4332.45614
Battarahalli,2 BHK,1300,5000000,Urban,2,3846.153846
Hosa Road,3 BHK,1652,8500000,Urban,3,5145.27845
Thigalarapalya,3 BHK,2072,14200000,Rural,3,6853.281853
Arekere,3 BHK,1740,9500000,Rural,3,5459.770115
Electronic City,3 BHK,1360,7100000,Rural,3,5220.588235
Hosur Road,3 BHK,1145,6000000,Urban,3,5240.174672
Uttarahalli,3 BHK,1540,4000000,Urban,3,2597.402597
Sarjapur  Road,2 BHK,1278,9500000,Urban,2,7433.489828
Electronic City Phase II,1 BHK,630,4000000,Urban,1,6349.206349
Kanakpura Road,3 BHK,1100,5800000,Urban,3,5272.727273
Bendiganahalli,3 Bedroom,1200,9500000,Urban,3,7916.666667
Hosakerehalli Layout,7 Bedroom,2500,11500000,Urban,7,4600
Chandapura,1 BHK,582.5,1513500,Urban,1,2598.283262
Chandapura,2 BHK,1015,2588000,Rural,2,2549.753695
Hosur Road,5 Bedroom,3300,24000000,Urban,5,7272.727273
Basaveshwara Nagar,5 Bedroom,4500,41500000,Urban,5,9222.222222
Gunjur,3 BHK,1356,6600000,Urban,3,4867.256637
Hennagara,2 BHK,823,2800000,Rural,2,3402.18712
TC Palaya,3 Bedroom,1200,6600000,Urban,3,5500
Ramamurthy Nagar,2 BHK,1050,3700000,Urban,2,3523.809524
Ferrar Nagar,2 BHK,1180,6900000,Urban,2,5847.457627
Whitefield,2 BHK,1116,5191000,Urban,2,4651.433692
7th Phase JP Nagar,2 BHK,1070,4279000,Urban,2,3999.065421
Varthur,2 BHK,1385,8000000,Urban,2,5776.173285
Varthur,1 Bedroom,1000,7000000,Urban,1,7000
Whitefield,3 BHK,1897,13000000,Urban,3,6852.925672
Magadi Road,2 BHK,1005,5578000,Urban,2,5550.248756
Green Glen Layout,3 BHK,1575,12500000,Urban,3,7936.507937
Subramanyapura,2 BHK,975,6500000,Urban,2,6666.666667
Hennur Road,3 BHK,1904,12000000,Urban,3,6302.521008
Kengeri Satellite Town,1 BHK,930,3000000,Urban,1,3225.806452
Kanakpura Road,1 BHK,525,2600000,Urban,1,4952.380952
BAGUR,1 BHK,686,1700000,Rural,1,2478.134111
Electronic City Phase II,2 Bedroom,2400,15000000,Urban,2,6250
8th block Koramangala,2 Bedroom,1410,23300000,Urban,2,16524.8227
Sarjapur  Road,3 Bedroom,2238,14000000,Urban,3,6255.585344
Harlur,2 BHK,1174,6900000,Urban,2,5877.342419
Thubarahalli,4 Bedroom,3800,23900000,Urban,4,6289.473684
Whitefield,3 BHK,2225,12500000,Urban,3,5617.977528
M.G Road,2 BHK,1250,20000000,Urban,2,16000
Jigani,2 BHK,918,5200000,Rural,2,5664.488017
Mahadevpura,2 BHK,1250,5200000,Urban,2,4160
Sarjapur  Road,3 BHK,1800,11000000,Urban,3,6111.111111
Marathahalli,2 BHK,1170,5300000,Urban,2,4529.91453
Byatarayanapura,1 BHK,1300,20000000,Urban,1,15384.61538
Bannerghatta Road,2 BHK,793,4500000,Urban,2,5674.653216
Jakkur,3 BHK,1710,10700000,Urban,3,6257.309942
Kambipura,3 BHK,1082,5750000,Rural,3,5314.232902
Naganathapura,2 BHK,1001,3303000,Urban,2,3299.7003
Srinivasa Nagar,4 Bedroom,1500,18000000,Urban,4,12000
Yelahanka,3 BHK,1590,5400000,Urban,3,3396.226415
Basavanagara,3 BHK,2400,8000000,Urban,3,3333.333333
Horamavu Banaswadi,3 BHK,1554,5500000,Urban,3,3539.253539
Thanisandra,2 BHK,1142.5,4341500,Urban,2,3800
Bellandur,5 BHK,4239,42300000,Urban,5,9978.768577
Konanakunte,2 Bedroom,884,5800000,Urban,2,6561.085973
Hosa Road,2 BHK,1045,9889000,Urban,2,9463.157895
Marathahalli,2 BHK,1019,4986000,Urban,2,4893.032385
Ambedkar Nagar,3 BHK,1935,13000000,Urban,3,6718.346253
Uttarahalli,3 BHK,1135,3973000,Urban,3,3500.440529
Lakshminarayana Pura,3 BHK,1680,15000000,Urban,3,8928.571429
Hebbal,4 BHK,2470,24700000,Urban,4,10000
1st Phase JP Nagar,4 BHK,2825,25000000,Urban,4,8849.557522
Hosakerehalli,3 BHK,2480,33000000,Urban,3,13306.45161
5th Phase JP Nagar,9 Bedroom,1260,29000000,Urban,9,23015.87302
Ramamurthy Nagar,5 Bedroom,1800,18700000,Urban,5,10388.88889
Kasavanhalli,3 BHK,1799,9000000,Urban,3,5002.779322
Whitefield,4 Bedroom,4348.5,30400000,Urban,4,6990.916408
Attibele,1 BHK,400,1100000,Rural,1,2750
Kundalahalli,2 BHK,1047,8200000,Urban,2,7831.900669
Kaverappa Layout,2 BHK,1282,8700000,Urban,2,6786.271451
NGR Layout,2 BHK,1020,4590000,Urban,2,4500
Kammanahalli,4 Bedroom,1080,15500000,Urban,4,14351.85185
Whitefield,2 BHK,1495,7950000,Urban,2,5317.725753
Kasavanhalli,4 Bedroom,3260,24000000,Urban,4,7361.96319
Divya Unnathi Layout,3 BHK,1611,6444000,Urban,3,4000
Koramangala,4 BHK,3500,42500000,Urban,4,12142.85714
Vasantha Vallabha Nagar,3 Bedroom,1500,9500000,Urban,3,6333.333333
Sahakara Nagar,3 BHK,1500,9500000,Urban,3,6333.333333
Yelahanka,4 Bedroom,3206,27000000,Urban,4,8421.709295
Uttarahalli,3 BHK,1540,5000000,Urban,3,3246.753247
Hosa Road,3 BHK,1639,8000000,Urban,3,4881.025015
Marathahalli,4 Bedroom,700,7200000,Urban,4,10285.71429
Raja Rajeshwari Nagar,2 BHK,1303,5579000,Urban,2,4281.657713
Koramangala,2 BHK,1005,11000000,Urban,2,10945.27363
Kammasandra,1 BHK,657.5,1841000,Rural,1,2800
Chandapura,3 BHK,1305,3328000,Rural,3,2550.191571
Kothannur,3 Bedroom,600,9500000,Urban,3,15833.33333
sapthagiri Layout,2 BHK,1300,11500000,Urban,2,8846.153846
Brookefield,3 BHK,1440,6800000,Urban,3,4722.222222
Seegehalli,2 BHK,901,3514000,Urban,2,3900.110988
Rajaji Nagar,3 BHK,1725,20000000,Urban,3,11594.2029
Sarjapur,3 BHK,900,4200000,Urban,3,4666.666667
BEML Layout,2 BHK,1060,5500000,Urban,2,5188.679245
NGR Layout,2 BHK,1020,4845000,Urban,2,4750
Varthur,3 BHK,1535,6599000,Urban,3,4299.022801
Alur,1 BHK,530,2000000,Rural,1,3773.584906
Haralur Road,3 BHK,1464,5600000,Urban,3,3825.136612
Devarabisanahalli,2 BHK,1350,8000000,Urban,2,5925.925926
Sarjapur  Road,2 BHK,1115,5000000,Urban,2,4484.304933
Uttarahalli,2 BHK,1175,4700000,Urban,2,4000
Whitefield,2 BHK,1113,6200000,Urban,2,5570.530099
Uttarahalli,6 Bedroom,1200,22500000,Urban,6,18750
Ramamurthy Nagar,5 Bedroom,1640,24000000,Urban,5,14634.14634
Giri Nagar,2 BHK,650,4200000,Urban,2,6461.538462
Marathahalli,2 BHK,1325,7155000,Urban,2,5400
Electronics City Phase 1,2 BHK,950,3100000,Urban,2,3263.157895
Jakkur,3 BHK,1396,8651000,Urban,3,6196.991404
Rachenahalli,2 BHK,1050,5207000,Urban,2,4959.047619
Thanisandra,3 BHK,1825,10000000,Urban,3,5479.452055
7th Phase JP Nagar,2 BHK,1190,4998000,Urban,2,4200
Marathahalli,2 BHK,1220,5650000,Urban,2,4631.147541
NRI Layout,3 BHK,1565,7500000,Urban,3,4792.332268
Hennur Road,3 BHK,1891,10900000,Urban,3,5764.145955
Sidedahalli,2 BHK,900,2700000,Urban,2,3000
Hosa Road,2 BHK,1161,5515000,Urban,2,4750.215332
Sarjapur,1 BHK,649.5,1753500,Urban,1,2699.769053
Dwarka Nagar,8 Bedroom,2400,12500000,Urban,8,5208.333333
Rajaji Nagar,4 Bedroom,315,9000000,Urban,4,28571.42857
Yeshwanthpur,1 BHK,665,3685000,Urban,1,5541.353383
Mysore Road,2 BHK,1175,7350000,Urban,2,6255.319149
Hoodi,2 BHK,1425,8000000,Urban,2,5614.035088
Chikkabanavar,1 Bedroom,1200,2000000,Rural,1,1666.666667
ITPL,3 Bedroom,1200,5612000,Urban,3,4676.666667
Somasundara Palya,2 BHK,1255,6700000,Urban,2,5338.645418
Hegde Nagar,3 BHK,2112.95,14500000,Urban,3,6862.443503
Raja Rajeshwari Nagar,1 BHK,600,2200000,Urban,1,3666.666667
Haralur Road,3 BHK,1810,10000000,Urban,3,5524.861878
Indira Nagar,2 BHK,1200,9300000,Urban,2,7750
Harlur,2 BHK,1033,4900000,Rural,2,4743.465634
ITPL,3 BHK,1548,8950000,Urban,3,5781.653747
Horamavu Banaswadi,3 BHK,1611,6600000,Urban,3,4096.834264
Electronic City Phase II,3 BHK,1400,4043000,Urban,3,2887.857143
Vidyaranyapura,3 BHK,1485,6700000,Urban,3,4511.784512
Margondanahalli,2 Bedroom,2400,8200000,Urban,2,3416.666667
Pattandur Agrahara,2 BHK,1025,4450000,Urban,2,4341.463415
Thurahalli,4 Bedroom,600,6500000,Urban,4,10833.33333
Hallehalli,2 BHK,1225,5300000,Urban,2,4326.530612
5th Phase JP Nagar,2 BHK,1256,6280000,Urban,2,5000
Whitefield,4 BHK,2268,16300000,Urban,4,7186.948854
Kanakpura Road,3 BHK,1100,5300000,Urban,3,4818.181818
Vadarpalya,2 BHK,1141,6200000,Urban,2,5433.829974
Attibele,1 BHK,400,1200000,Rural,1,3000
Chandapura,2 Bedroom,1400,6000000,Urban,2,4285.714286
Kattigenahalli,7 BHK,4100,14000000,Urban,7,3414.634146
Weavers Colony,1 BHK,15,3000000,Urban,1,200000
Raghavendra Nagar,2 BHK,1175,4827000,Urban,2,4108.085106
Sahakara Nagar,2 BHK,1100,5600000,Urban,2,5090.909091
Kanakpura Road,3 BHK,1843,9584000,Urban,3,5200.217037
1st Phase JP Nagar,8 Bedroom,1200,24000000,Urban,8,20000
Horamavu Banaswadi,2 BHK,1460,8050000,Urban,2,5513.69863
Rachenahalli,3 BHK,1530,7450000,Urban,3,4869.281046
HSR Layout,2 BHK,1467,5500000,Urban,2,3749.147921
KR Layout,1 BHK,950,4000000,Urban,1,4210.526316
Vittasandra,2 BHK,1246,6450000,Rural,2,5176.565008
Kanakapura,1 BHK,711,3800000,Urban,1,5344.585091
Haralur Road,2 BHK,1194,4600000,Urban,2,3852.596315
Babusapalaya,3 BHK,1358,4340000,Rural,3,3195.876289
Nagasandra,6 Bedroom,1500,13000000,Rural,6,8666.666667
Hoodi,2 BHK,1420,7500000,Rural,2,5281.690141
Kathriguppe,3 BHK,1250,6875000,Rural,3,5500
Akshaya Nagar,2 BHK,1280,5800000,Urban,2,4531.25
Nagappa Reddy Layout,2 BHK,1209,5000000,Urban,2,4135.649297
Kempapura,5 Bedroom,4200,22500000,Urban,5,5357.142857
BTM 1st Stage,4 Bedroom,1215,20500000,Rural,4,16872.42798
Panathur,3 BHK,1315,5480000,Rural,3,4167.30038
Kariyammana Agrahara,3 BHK,1800,9000000,Urban,3,5000
Hessarghatta,5 Bedroom,1600,12500000,Rural,5,7812.5
TC Palaya,3 BHK,1600,6500000,Rural,3,4062.5
Binnamangala,6 Bedroom,3968,90000000,Rural,6,22681.45161
Suraksha Nagar,3 BHK,1563,5200000,Urban,3,3326.935381
Whitefield,3 BHK,1560,7200000,Urban,3,4615.384615
Brookefield,3 BHK,2169,11500000,Rural,3,5301.98248
Lakshmi Layout,9 Bedroom,900,17000000,Urban,9,18888.88889
Rachenahalli,2 BHK,1050,5550000,Urban,2,5285.714286
Iblur Village,3 BHK,3235,23500000,Rural,3,7264.296754
TC Palaya,3 Bedroom,1200,6600000,Rural,3,5500
HSR Layout,2 BHK,1140,4600000,Urban,2,4035.087719
7th Phase JP Nagar,3 Bedroom,1500,17000000,Urban,3,11333.33333
Horamavu Agara,3 BHK,1560,7500000,Urban,3,4807.692308
JP Nagar,2 BHK,1100,7000000,Urban,2,6363.636364
Kasavanhalli,3 BHK,1260,4032000,Urban,3,3200
Hebbal,2 BHK,1036,5000000,Urban,2,4826.254826
Akshaya Nagar,3 BHK,1662,8510000,Urban,3,5120.336943
Yelachenahalli,3 BHK,1464,10500000,Urban,3,7172.131148
Yelahanka,2 BHK,1234,8000000,Urban,2,6482.982172
Sarjapur  Road,3 BHK,1403,5500000,Urban,3,3920.171062
Kadugondanahalli,4 Bedroom,915,5490000,Urban,4,6000
2nd Stage Nagarbhavi,6 Bedroom,3000,45100000,Urban,6,15033.33333
Seegehalli,3 BHK,1150,4290000,Urban,3,3730.434783
Hebbal,4 BHK,3900,41000000,Urban,4,10512.82051
Yeshwanthpur,5 Bedroom,850,9000000,Rural,5,10588.23529
Kanakapura,2 BHK,929,4600000,Urban,2,4951.560818
2nd Stage Nagarbhavi,6 Bedroom,2400,45000000,Urban,6,18750
TC Palaya,3 Bedroom,1350,7500000,Rural,3,5555.555556
Vasanthapura,2 BHK,1135,3973000,Urban,2,3500.440529
Basava Nagar,2 BHK,1405,7000000,Urban,2,4982.206406
Whitefield,2 Bedroom,1200,4584000,Urban,2,3820
Haralur Road,4 BHK,2805,15400000,Urban,4,5490.196078
Yeshwanthpur,2 BHK,1161,6408000,Rural,2,5519.379845
Kanakpura Road,2 BHK,1290,7400000,Urban,2,5736.434109
Yeshwanthpur,3 BHK,2557,14100000,Rural,3,5514.27454
2nd Block Hrbr Layout,3 BHK,1480,9000000,Urban,3,6081.081081
BTM 1st Stage,9 Bedroom,3300,50000000,Rural,9,15151.51515
Old Madras Road,3 BHK,1350,5454000,Urban,3,4040
Kadugodi,3 BHK,1580,6500000,Rural,3,4113.924051
Banashankari,3 BHK,1470,8864000,Urban,3,6029.931973
Ananth Nagar,1 BHK,500,1400000,Urban,1,2800
Sarjapur  Road,2 BHK,1346,6192000,Urban,2,4600.297177
Canara Bank Layout,3 BHK,1600,9000000,Urban,3,5625
Naganathapura,2 BHK,720,12000000,Urban,2,16666.66667
Manjunath Nagar,4 Bedroom,1200,13500000,Urban,4,11250
Basapura,2 BHK,1200,3500000,Urban,2,2916.666667
Channasandra,3 BHK,1340,4833000,Rural,3,3606.716418
Devanahalli,4 Bedroom,6136,56000000,Urban,4,9126.466754
Jigani,2 BHK,918,4800000,Rural,2,5228.75817
Singena Agrahara,3 Bedroom,1500,11500000,Urban,3,7666.666667
Yelahanka,2 BHK,1315,8500000,Urban,2,6463.878327
Sector 1 HSR Layout,4 Bedroom,2400,77500000,Urban,4,32291.66667
Uttarahalli,3 BHK,1390,6255000,Urban,3,4500
Uttarahalli,3 BHK,1330,5600000,Urban,3,4210.526316
Jalahalli,5 BHK,3100,26500000,Urban,5,8548.387097
Mango Garden Layout,3 BHK,1824,12500000,Urban,3,6853.070175
7th Phase JP Nagar,3 BHK,1420,9600000,Urban,3,6760.56338
Kacharakanahalli,1 Bedroom,750,5625000,Urban,1,7500
Jalahalli East,3 BHK,1260,6000000,Urban,3,4761.904762
Hennur Road,3 BHK,1561,9500000,Urban,3,6085.842409
5th Phase JP Nagar,9 Bedroom,812,16500000,Urban,9,20320.19704
"Bidere Agarahara, Behind Safal market",2 BHK,1060,4200000,Urban,2,3962.264151
Hoodi,8 Bedroom,1120,14500000,Rural,8,12946.42857
Haralur Road,2 BHK,1225,6738000,Urban,2,5500.408163
Thanisandra,3 BHK,2144,13500000,Rural,3,6296.641791
Kengeri,7 Bedroom,1200,14000000,Rural,7,11666.66667
Electronic City,2 BHK,880,2900000,Urban,2,3295.454545
Hoodi,3 BHK,1639,11000000,Rural,3,6711.409396
Thanisandra,3 BHK,1240,6200000,Rural,3,5000
Kanakpura Road,2 BHK,1500,6900000,Urban,2,4600
Haralur Road,2 BHK,1243,4600000,Urban,2,3700.724055
Marathahalli,3 BHK,1575,7800000,Urban,3,4952.380952
Haralur Road,2 BHK,1027,4400000,Urban,2,4284.323272
Kambipura,3 BHK,1082,5600000,Urban,3,5175.600739
Konanakunte,3 BHK,1637,7300000,Rural,3,4459.376909
Kanakpura Road,3 BHK,1665,8658000,Urban,3,5200
Electronic City,2 BHK,1265,5693000,Urban,2,4500.395257
Electronic City,3 BHK,1691,10200000,Urban,3,6031.933767
Thanisandra,2 BHK,1100,3800000,Rural,2,3454.545455
Grihalakshmi Layout,5 Bedroom,24,15000000,Urban,5,625000
Gopalkrishna Nagar,3 Bedroom,1500,6200000,Urban,3,4133.333333
Hosakerehalli,4 BHK,3205,38000000,Urban,4,11856.47426
Kammanahalli,5 Bedroom,1666,15000000,Urban,5,9003.601441
Choodasandra,2 BHK,1115,5000000,Rural,2,4484.304933
Mysore Road,2 BHK,1070,4500000,Urban,2,4205.607477
Indira Nagar,2 BHK,1128,10500000,Urban,2,9308.510638
Budigere,2 BHK,1162,5700000,Rural,2,4905.335628
Sai Gardens,2 BHK,1339,5500000,Rural,2,4107.542942
Mahadevpura,2 BHK,1192,7500000,Urban,2,6291.946309
Haralur Road,3 BHK,1920,11500000,Urban,3,5989.583333
Hennur,2 BHK,1255,5232000,Rural,2,4168.924303
Rajaji Nagar,2 BHK,1357,11500000,Urban,2,8474.576271
Dodda Kempaiah Layout,3 BHK,1600,7500000,Urban,3,4687.5
Hanumanth Nagar,2 BHK,1225,5511000,Urban,2,4498.77551
Whitefield,4 Bedroom,2400,20000000,Urban,4,8333.333333
Kasturi Nagar,3 BHK,1570,8000000,Urban,3,5095.541401
Thanisandra,2 BHK,1093,7000000,Rural,2,6404.391583
Basaveshwara Nagar,3 BHK,1865,14500000,Urban,3,7774.798928
R.T. Nagar,6 Bedroom,1200,16500000,Urban,6,13750
Kaikondrahalli,2 BHK,1039,8000000,Urban,2,7699.711261
Vittasandra,2 BHK,1246,6450000,Rural,2,5176.565008
Whitefield,3 BHK,1985,7500000,Urban,3,3778.337531
Hosakerehalli,3 BHK,1590,4900000,Urban,3,3081.761006
Hunasamaranahalli,4 Bedroom,4000,67500000,Urban,4,16875
Electronic City Phase II,2 BHK,775,3800000,Urban,2,4903.225806
RWF West Colony,2 BHK,1000,5000000,Urban,2,5000
Hebbal Kempapura,3 BHK,1800,17500000,Urban,3,9722.222222
Bommasandra,2 BHK,1035,4100000,Rural,2,3961.352657
Dasarahalli,3 BHK,1520,7500000,Urban,3,4934.210526
Whitefield,2 BHK,1360,9500000,Urban,2,6985.294118
Bileshivale,4 Bedroom,6000,40000000,Rural,4,6666.666667
Kodigehaali,2 BHK,1117,5600000,Rural,2,5013.428827
KR Puram,4 Bedroom,1200,12000000,Urban,4,10000
EPIP Zone,2 BHK,1330,9250000,Rural,2,6954.887218
Marathahalli,3 BHK,1937,16000000,Urban,3,8260.19618
Electronic City,2 BHK,1128,6549000,Urban,2,5805.851064
Neeladri Nagar,2 BHK,1053,4500000,Urban,2,4273.504274
Panathur,2 BHK,1198,7700000,Rural,2,6427.378965
Marathahalli,2 BHK,1152,5600000,Urban,2,4861.111111
1st Block Jayanagar,6 BHK,1200,12500000,Urban,6,10416.66667
Frazer Town,2 BHK,1625,7500000,Urban,2,4615.384615
Kundalahalli,3 BHK,1397,10500000,Urban,3,7516.105941
Yeshwanthpur,3 BHK,1523,17000000,Rural,3,11162.17991
Kambipura,2 BHK,883,4500000,Urban,2,5096.262741
Kaggalipura,1 BHK,700,3800000,Urban,1,5428.571429
Yelahanka,2 BHK,1170,6250000,Urban,2,5341.880342
Kanakpura Road,3 BHK,1200,4200000,Urban,3,3500
Manayata Tech Park,3 BHK,2400,17000000,Rural,3,7083.333333
Kullappa Colony,2 BHK,1480,6500000,Urban,2,4391.891892
Akshaya Nagar,3 BHK,1897,12000000,Urban,3,6325.777543
Rachenahalli,2 BHK,996,6700000,Urban,2,6726.907631
Haralur Road,3 BHK,1875,11000000,Urban,3,5866.666667
Williams Town,3 BHK,1500,9800000,Urban,3,6533.333333
Jaya Nagar East,3 BHK,3095,35000000,Urban,3,11308.5622
Ambalipura,3 BHK,1390,17500000,Urban,3,12589.92806
Yelahanka,3 BHK,1450,6525500,Urban,3,4500.344828
Yelahanka,1 BHK,697,4500000,Urban,1,6456.241033
Sarjapur  Road,1 BHK,710,2700000,Urban,1,3802.816901
Iggalur,2 BHK,910,3050000,Rural,2,3351.648352
Sompura,3 BHK,1025,4800000,Urban,3,4682.926829
Magadi Road,2 BHK,1000,4650000,Urban,2,4650
Harlur,4 Bedroom,1200,24400000,Rural,4,20333.33333
Horamavu Agara,3 BHK,1453,4648000,Urban,3,3198.89883
Sarjapur  Road,4 BHK,3335,30000000,Urban,4,8995.502249
Thanisandra,2 BHK,971.5,3643500,Rural,2,3750.386001
Bellandur,2 BHK,1281,7400000,Urban,2,5776.736924
Cooke Town,1 BHK,565,3500000,Urban,1,6194.690265
Varthur,2 BHK,1024,4200000,Rural,2,4101.5625
Electronic City,3 BHK,1620,6200000,Urban,3,3827.160494
Whitefield,2 BHK,1254,4000000,Urban,2,3189.792663
Banashankari,3 BHK,1300,7500000,Urban,3,5769.230769
Doddakallasandra,2 BHK,1233,4300000,Rural,2,3487.429035
Chokkanahalli,1 Bedroom,1200,2800000,Urban,1,2333.333333
Hosur Road,3 BHK,1510,10500000,Urban,3,6953.642384
Kaggalipura,2 BHK,950,6500000,Urban,2,6842.105263
Battarahalli,3 BHK,1945,9742000,Urban,3,5008.74036
Uttarahalli,2 BHK,1008,4500000,Urban,2,4464.285714
Thanisandra,3 BHK,1265,7900000,Rural,3,6245.059289
Hebbal,3 BHK,1255,7768000,Urban,3,6189.641434
Kanakpura Road,4 BHK,2689,22000000,Urban,4,8181.480104
Yelenahalli,2 BHK,1200,4617000,Urban,2,3847.5
Sarjapur  Road,3 BHK,1403,5163000,Urban,3,3679.97149
Kudlu Gate,3 BHK,1535,8500000,Rural,3,5537.459283
Chikkaballapur,3 Bedroom,1500,10000000,Rural,3,6666.666667
Chamrajpet,3 BHK,1475,12000000,Urban,3,8135.59322
Uttarahalli,3 BHK,1390,6047000,Urban,3,4350.359712
Raja Rajeshwari Nagar,3 BHK,1278,5376000,Urban,3,4206.57277
VGP Layout,2 BHK,1133,5500000,Urban,2,4854.368932
Classic Paradise Layout,5 Bedroom,1560,14500000,Urban,5,9294.871795
Byappanahalli,5 Bedroom,2900,9000000,Urban,5,3103.448276
Kogilu,2 BHK,1170,5199000,Rural,2,4443.589744
Sahakara Nagar,3 Bedroom,1200,20000000,Urban,3,16666.66667
Whitefield,3 BHK,1697,9479000,Urban,3,5585.73954
Thanisandra,3 BHK,1651,9738000,Rural,3,5898.243489
Vasanth nagar,3 BHK,1560,18800000,Urban,3,12051.28205
Hennur Road,3 BHK,1192,6000000,Urban,3,5033.557047
OMBR Layout,2 BHK,1078,6500000,Urban,2,6029.684601
Kumaraswami Layout,7 Bedroom,800,10500000,Urban,7,13125
Kasavanhalli,2 BHK,1349,7800000,Urban,2,5782.060786
Ulsoor,9 Bedroom,2300,21000000,Rural,9,9130.434783
7th Phase JP Nagar,3 BHK,1680,12000000,Urban,3,7142.857143
Rayasandra,3 BHK,1314,6300000,Rural,3,4794.520548
Garudachar Palya,2 BHK,1060,4870000,Urban,2,4594.339623
Kalyan nagar,2 BHK,820,3900000,Urban,2,4756.097561
Whitefield,4 Bedroom,5000,40000000,Urban,4,8000
BEML Layout,3 BHK,2000,8500000,Urban,3,4250
Kalkere,2 BHK,856,4000000,Rural,2,4672.897196
Rajaji Nagar,3 BHK,1621,13000000,Urban,3,8019.740901
ITPL,3 Bedroom,1200,6840000,Urban,3,5700
Bannerghatta Road,3 BHK,1484,5250000,Urban,3,3537.735849
T.C. Palya,4 Bedroom,600,6000000,Urban,4,10000
Siddapura,4 Bedroom,14000,80000000,Urban,4,5714.285714
Yelahanka New Town,1 BHK,500,2000000,Urban,1,4000
Makali,1 BHK,485,1500000,Rural,1,3092.783505
7th Phase JP Nagar,2 BHK,1050,4200000,Urban,2,4000
Uttarahalli,3 BHK,1617,6668000,Urban,3,4123.685838
Electronic City,2 BHK,550,1600000,Urban,2,2909.090909
RWF West Colony,3 BHK,1384,6228000,Urban,3,4500
Devanahalli,2 BHK,1408,8500000,Urban,2,6036.931818
Uttarahalli,2 BHK,1150,4900000,Urban,2,4260.869565
Akshaya Nagar,3 BHK,1410,7500000,Urban,3,5319.148936
Kaggadasapura,4 BHK,2150,10000000,Urban,4,4651.162791
Koramangala,3 BHK,2292,27500000,Urban,3,11998.2548
Malleshwaram,3 BHK,2006,29700000,Rural,3,14805.58325
Maragondanahalli,3 BHK,1508,7025000,Urban,3,4658.488064
Ramamurthy Nagar,2 BHK,1040,5000000,Urban,2,4807.692308
TC Palaya,2 Bedroom,1240,6000000,Urban,2,4838.709677
Kudlu Gate,3 BHK,1535,7800000,Urban,3,5081.433225
Lakshminarayana Pura,2 BHK,1180,7500000,Urban,2,6355.932203
Abbigere,6 Bedroom,2200,6800000,Urban,6,3090.909091
Bannerghatta Road,2 BHK,1400,7800000,Urban,2,5571.428571
Raja Rajeshwari Nagar,1 BHK,500,2500000,Urban,1,5000
Whitefield,4 Bedroom,4800,52500000,Urban,4,10937.5
Sarjapur  Road,3 BHK,1984,14600000,Urban,3,7358.870968
Whitefield,4 Bedroom,3000,25000000,Urban,4,8333.333333
Garudachar Palya,3 BHK,1960,16000000,Urban,3,8163.265306
Sarjapur  Road,2 BHK,1035,4500000,Urban,2,4347.826087
Vibuthipura,4 Bedroom,2150,8000000,Urban,4,3720.930233
Whitefield,3 BHK,1700,11500000,Urban,3,6764.705882
Hosakerehalli,4 BHK,3024,24800000,Urban,4,8201.058201
Tumkur Road,3 BHK,1586,10000000,Urban,3,6305.17024
Hennur,3 Bedroom,2264,15500000,Urban,3,6846.289753
Chikka Tirupathi,4 Bedroom,2325,12000000,Urban,4,5161.290323
Yelahanka,2 BHK,1120,5500000,Urban,2,4910.714286
Yelahanka,3 BHK,1662,6798000,Urban,3,4090.252708
Sarjapur  Road,2 BHK,1128,5900000,Urban,2,5230.496454
